bnf_code,bnf_name,formulation_descr
0913011W0BBABAB,Fortisip Compact Protein liquid (9 flavours),liquidfood.oral
0913011V0BCAAAC,Ensure Compact liquid (4 flavours),liquidfood.gastroenteral
0913011V0BCAAAC,Ensure Compact liquid (4 flavours),liquidfood.oral
0913011V0BDAAAD,Fortisip Compact liquid (8 flavours),liquidfood.oral
0913011N0BEAAAA,Ensure Plus milkshake style liquid (9 flavours),liquidfood.gastroenteral
0913011N0BEAAAA,Ensure Plus milkshake style liquid (9 flavours),liquidfood.oral
0913011N0BFAAAG,Fortisip Bottle (5 flavours),liquidfood.oral
0913011S0BDAAAC,Ensure TwoCal liquid (4 flavours),liquidfood.gastroenteral
0913011S0BDAAAC,Ensure TwoCal liquid (4 flavours),liquidfood.oral
0913011M0BEABAA,Fortijuce liquid (5 flavours),liquidfood.oral
0913011S0BEAAAD,Fortisip 2kcal liquid (5 flavours),liquidfood.oral
0913011M0BDAAAB,Ensure Plus Juce liquid (6 flavours),liquidfood.gastroenteral
0913011M0BDAAAB,Ensure Plus Juce liquid (6 flavours),liquidfood.oral
0913011S0BFAAAE,Fresubin 2kcal drink (6 flavours),liquidfood.oral
0913011T0BBABAA,Fortisip Compact Fibre liquid (3 flavours),liquidfood.oral
0913011M0BCABAG,Altrajuce liquid (4 flavours),liquidfood.oral
0913011J0BGABAE,Nutricrem dessert chocolate orange,grocerysemisolid.oral
0913011N0BBABAI,Altraplen Energy liquid (4 flavours),liquidfood.oral
0913011X0BCABAD,Altraplen Compact Daily liquid (4 flavours),liquidfood.oral
0913011L0BBAAAB,Ensure Plus Fibre liquid (5 flavours),liquidfood.gastroenteral
0913011L0BBAAAB,Ensure Plus Fibre liquid (5 flavours),liquidfood.oral
0913011K0BCAAAE,Ensure Plus Advance liquid (5 flavours),liquidfood.oral
0913011K0BCAAAE,Ensure Plus Advance liquid (5 flavours),liquidfood.gastroenteral
0913011M0BBABAE,Aymes Actagain Juce liquid (5 flavours),liquidfood.oral
0913011N0BCABAF,Aymes Actagain 1.5 Complete liquid (4 flavours),liquidfood.oral
0913011V0BBAAAA,Altraplen Compact liquid banana,liquidfood.oral
0913011J0BGADAE,Nutricrem dessert strawberry,grocerysemisolid.oral
0913011J0BGAEAE,Nutricrem dessert vanilla,grocerysemisolid.oral
0913011V0BBACAA,Altraplen Compact liquid strawberry,liquidfood.oral
0913011S0BBAAAA,Aymes Actagain 2.4 liquid (3 flavours),liquidfood.oral
0913011I0BBAAAC,Ensure liquid (2 flavours),liquidfood.gastroenteral
0913011I0BBAAAC,Ensure liquid (2 flavours),liquidfood.oral
0913011K0BEAAAD,Fresubin Protein Energy drink (5 flavours),liquidfood.oral
0913011W0BCAAAC,Fresubin 3.2kcal drink (4 flavours),liquidfood.oral
0913011N0BGAAAB,Fresubin Energy liquid (7 flavours),liquidfood.oral
0913011U0BBAAAA,Fresubin 2kcal Fibre drink (6 flavours),liquidfood.oral
0913011V0BBADAA,Altraplen Compact liquid vanilla,liquidfood.oral
0913011K0BBAAAA,Altraplen Protein liquid strawberry,liquidfood.oral
0913011J0BFAAAB,Fresubin 2kcal Creme dessert cappuccino,grocerysemisolid.oral
0913011X0BBABAB,Aymes Actagain 2.4 Daily liquid (3 flavours),liquidfood.oral
0913011S0BBAEAI,Aymes Actagain 2.0 liquid (6 flavours),liquidfood.oral
0913011M0BFAAAC,Fresubin Jucy drink (5 flavours),liquidfood.oral
0913011J0BBAAAF,Aymes ActaCal Creme dessert (2 flavours),grocerysemisolid.oral
0913011N0BGAAAB,Fresubin Energy liquid (8 flavours),liquidfood.oral
0913011V0BBABAA,Altraplen Compact liquid hazel chocolate,liquidfood.oral
0913011Z0BBAAAA,Fortisip PlantBased 1.5kcal liquid mango passionfruit,liquidfood.oral
0913011S0BBADAB,Aymes 2.0kcal liquid (3 flavours),liquidfood.oral
0913011L0BCAAAA,Fresubin Energy Fibre liquid (6 flavours),liquidfood.oral
0913011J0BGACAE,Nutricrem dessert mint chocolate,grocerysemisolid.oral
0913011W0BCABAD,Fresubin Pro Compact drink (3 flavours),liquidfood.oral
0913011J0BFABAB,Fresubin 2kcal Creme dessert chocolate,grocerysemisolid.oral
0913011J0BFADAB,Fresubin 2kcal Creme dessert vanilla,grocerysemisolid.oral
0913011J0BFAEAB,Fresubin 2kcal Creme dessert wild strawberry,grocerysemisolid.oral
0913011K0BBABAA,Altraplen Protein liquid vanilla,liquidfood.oral
0913011Z0BBABAA,Fortisip PlantBased 1.5kcal liquid mocha,liquidfood.oral
0913011B0BBADAA,Aymes ActaSolve Smoothie pdr 66g sach strawberry & cranberry,liquidfood.oral
0913011V0BEAAAE,Fresubin 2kcal Mini drink (3 flavours),liquidfood.oral
