BNF_CODE,BNF_NAME,total_items,total_actual_cost
0410030C0AAAFAF,Methadone 1mg/ml oral solution sugar free,104665,582523.2389056077
0603020T0AAACAC,Prednisolone 5mg tablets,95528,169925.77116390155
0501013K0AAAJAJ,Co-amoxiclav 500mg/125mg tablets,94612,224274.45375989136
0410030C0BFABAF,Physeptone 1mg/ml oral solution sugar free,81636,643252.3408000002
0501012G0AAABAB,Flucloxacillin 500mg capsules,66173,182240.93758907812
0901020G0AAAGAG,Folic acid 5mg tablets,64993,51033.74528792579
0103050P0AAAAAA,Omeprazole 20mg gastro-resistant capsules,62001,51746.88813809083
0501013B0AAABAB,Amoxicillin 500mg capsules,60735,65653.07564844053
0403030Q0AAAAAA,Sertraline 50mg tablets,56587,50015.1302864506
0501030I0AAABAB,Doxycycline 100mg capsules,55565,110783.62091668247
0304010W0AAALAL,Promethazine hydrochloride 25mg tablets,55502,131745.60590335223
0401010ADAAAAAA,Melatonin 2mg modified-release tablets,53333,352432.44706900656
0401020K0AAAHAH,Diazepam 2mg tablets,48625,23430.82412773187
1001030U0AAABAB,Methotrexate 2.5mg tablets,46428,144584.26869324862
0407020C0AAAEAE,Codeine 30mg tablets,42920,62862.18736876963
0401010Z0AAAAAA,Zopiclone 7.5mg tablets,42391,20260.44852631439
0407010F0AAAHAH,Co-codamol 30mg/500mg tablets,41892,81037.09002938507
0401020K0AAAIAI,Diazepam 5mg tablets,39626,17288.38480108197
0402010ADAAADAD,Aripiprazole 5mg tablets,37910,70259.44228037684
0403030Q0AAABAB,Sertraline 100mg tablets,35573,41411.598095593334
